#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABEB31
#Date Time: 2019-09-08 21:47:03.736

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
1334,0.4144597818775899,0.6230887106313092,0.05717692181862662,1.536476773803688,2.266477474338469,0.001781990749463358
1335,0.4144849489587729,0.6231118174806889,0.05715562264350904,1.535520424718783,2.26552111852995,0.00177304433325749
1336,0.4146247161417741,0.623248591578805,0.05712940240320023,1.534335774254564,2.264335958123319,0.0009125133327308822
1337,0.4142094593022253,0.622838454122685,0.05716613093457232,1.533674688961352,2.263675043108677,0.001266233905292565
1338,0.4145689890334457,0.6231940506796328,0.05713978169846186,1.532462174942911,2.262462920147608,0.001836299422029916
1339,0.4146835891352704,0.6233043846028915,0.05709849423055257,1.531459536405132,2.261460116661412,0.001620016530753487
1340,0.4142575464037832,0.6228870589027444,0.05717398252458922,1.530503187320182,2.260503350884398,0.0008599281864271249
1341,0.414191932227834,0.6228248834211009,0.05720841378736615,1.529323480389549,2.259324131251628,0.0017149396233098
1342,0.4139038590306943,0.6225366251094158,0.05719313911236927,1.52800805098531,2.258008709479177,0.001724462287906646
1343,0.41422384049148,0.6228545388132912,0.0571853495780941,1.526984290075585,2.256984440688952,0.0008245388133323042
1344,0.4142710287687027,0.6229021807968952,0.05719246201901839,1.526344327154011,2.256344675913704,0.001254529447416312
1345,0.4142251887279719,0.6228579296946359,0.05720765552697864,1.525267535609084,2.255268267289368,0.001816664666872252
1346,0.4139541931930706,0.622585281357277,0.05717718867784437,1.523934579130615,2.253935092773899,0.00152165616397741
1347,0.4139186896321038,0.6225520996862752,0.05720083101365461,1.523420901027164,2.253421120836861,0.0009953131105155267
1348,0.4141806969237355,0.6228140486964592,0.05721225757577682,1.523116199579989,2.253116416169187,0.0009879281541029868
1349,0.4145586525536706,0.6231827099589683,0.05712835314118542,1.522275349421013,2.252275885637153,0.001554159989025735
1350,0.414178000450749,0.6228114266567979,0.05721294373861038,1.521235859085613,2.251236611051101,0.001840028196239801
1351,0.4144836007222813,0.6231147980478542,0.05720273403415748,1.5199271708638,2.249927515493732,0.001245304482507389
1352,0.4144570854046074,0.6230858799700695,0.05717533549834614,1.518791056913097,2.248791506854777,0.001422549872705471
1353,0.4147002173853401,0.6233246658250526,0.05713912113217086,1.517118794250986,2.247119495120383,0.001774788154216978
1354,0.4145635960874791,0.6231922851356082,0.05717908239531645,1.516250979362329,2.246251336658,0.001266945419002876
1355,0.414173506329109,0.6228060975330577,0.05720364649098066,1.515682922387095,2.245683022505566,0.000670572948469643
1356,0.4145959537632865,0.6232235305434056,0.05716844580425599,1.514826792214663,2.244827369794191,0.001610320418975639
1357,0.4145051725061532,0.6231318155520287,0.05715409387197928,1.513073635363066,2.24307422958647,0.001632720267742437
1358,0.4147393162436047,0.6233600810619316,0.05710071742987997,1.512523105462171,2.242523459224229,0.00125961940107717
1359,0.4147262832908498,0.6233481859605766,0.05711253953659293,1.511981114392425,2.241981206819487,0.0006437714346446492
1360,0.4160084561947727,0.6246044008346699,0.05688706324164505,1.51150069278905,2.241501096442705,0.001345207046610064
1361,0.4158125124912662,0.6244110422365945,0.05690649327028522,1.509614959348569,2.239615627465929,0.001729928402171227
1362,0.4154075921314982,0.6240111863597052,0.05694352591317964,1.509097685947829,2.239098152073816,0.001444785040251651
1363,0.4157491453761342,0.624347437770216,0.05690099537181735,1.508337280566193,2.238337410796985,0.0007635446537428648
