field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"729",eui-70b3d57ed0044a2b,2021/09/11 04:02:02.706,3.963800000000000,"110921",1.100000000000000,47.764457700000001,8.996598199999999,"5",40200.220000000001164
"730",eui-70b3d57ed004476d,2021/09/11 04:01:21.604,4.017500000000000,"110921",1.300000000000000,47.764633099999998,8.995499600000000,"6",40119.639999999999418
"749",eui-70b3d57ed004476c,2021/09/11 02:58:49.109,4.022400000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"7",25846.900000000001455
"751",eui-70b3d57ed004476f,2021/09/11 02:47:34.694,3.851400000000000,"110921",1.000000000000000,47.764347000000001,8.996509500000000,"6",24732.509999999998399
"755",eui-70b3d57ed0044a2d,2021/09/11 02:35:02.742,3.993100000000000,"110921",0.900000000000000,47.765251100000000,8.995841900000000,"7",23500.250000000000000
"757",eui-70b3d57ed0044a2e,2021/09/11 02:30:34.453,4.134800000000001,"110921",1.000000000000000,47.765769900000002,8.994391400000000,"8",23031.830000000001746
"759",eui-70b3d57ed004476e,2021/09/11 02:26:37.801,4.125100000000000,"110921",1.100000000000000,47.765506700000003,8.995070399999999,"6",22635.209999999999127
"760",eui-70b3d57ed0044a2f,2021/09/11 02:26:02.721,4.012700000000000,"110921",1.200000000000000,47.764007499999998,8.995703600000002,"8",22600.490000000001601
"765",eui-70b3d57ed0044a2c,2021/09/11 02:06:44.301,4.066400000000000,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"7",20641.520000000000437
"768",eui-70b3d57ed0044a2b,2021/09/11 02:01:57.313,3.958900000000000,"110921",1.100000000000000,47.764457700000001,8.996598199999999,"6",20155.119999999998981
"769",eui-70b3d57ed004476d,2021/09/11 02:01:05.323,4.032200000000000,"110921",1.300000000000000,47.764633099999998,8.995499600000000,"6",20102.729999999999563
"788",eui-70b3d57ed004476c,2021/09/11 00:58:27.435,4.022400000000000,"110921",2.300000000000000,47.765266400000002,8.994366599999999,"6",5825.000000000000000
"790",eui-70b3d57ed004476f,2021/09/11 00:47:13.458,3.861100000000000,"110921",1.000000000000000,47.764347000000001,8.996509500000000,"6",4711.560000000000400
"794",eui-70b3d57ed0044a2d,2021/09/11 00:34:56.969,3.978400000000000,"110921",1.300000000000000,47.765277800000000,8.994876800000000,"6",3454.789999999999964
"797",eui-70b3d57ed0044a2e,2021/09/11 00:29:58.401,4.130000000000000,"110921",2.400000000000000,47.765144300000003,8.994449599999999,"5",2956.000000000000000
"800",eui-70b3d57ed004476e,2021/09/11 00:26:32.607,4.130000000000000,"110921",1.100000000000000,47.765506700000003,8.995070399999999,"7",2630.380000000000109
"806",eui-70b3d57ed0044a2c,2021/09/11 00:06:28.411,4.066400000000000,"110921",1.000000000000000,47.763683299999997,8.995671200000000,"7",625.629999999999995
"808",eui-70b3d57ed0044a2b,2021/09/11 00:01:36.150,3.963800000000000,"110921",1.100000000000000,47.764457700000001,8.996598199999999,"5",134.120000000000005
